experiment,fold,seed,source_server,source_path,copied_path,sha256
404,d15_cfg22,2026,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/404/logs/cv_fold_d15_cfg22/seed_2026/generalization_summary.csv,raw/404/cv_fold_d15_cfg22/seed_2026/generalization_summary.csv,a1e696814b70b8ca214c65e33ecf88901fa4dc5f0206f9bb165cd398e795a846
404,d15_cfg22,3407,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/404/logs/cv_fold_d15_cfg22/seed_3407/generalization_summary.csv,raw/404/cv_fold_d15_cfg22/seed_3407/generalization_summary.csv,0e8d563de260a7417776c25642e310cf790b8f159e3cbf014695c5436eee61de
404,d15_cfg22,4096,D,E:/Desktop/GPT_Codex/2modify/huichuan/D/zenodo_experiment/404/logs/cv_fold_d15_cfg22/seed_4096/generalization_summary.csv,raw/404/cv_fold_d15_cfg22/seed_4096/generalization_summary.csv,672025eb2c2ec40eab54a36dc7921eb49377cc9a5a57d0380a906784b4d93eba
404,d16_cfg21,2026,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/404/logs/cv_fold_d16_cfg21/seed_2026/generalization_summary.csv,raw/404/cv_fold_d16_cfg21/seed_2026/generalization_summary.csv,baae9d2c6474265834a762b7ab6689052bb84d5d36ef4e2b80209680a3a78fdd
404,d16_cfg21,3407,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/404/logs/cv_fold_d16_cfg21/seed_3407/generalization_summary.csv,raw/404/cv_fold_d16_cfg21/seed_3407/generalization_summary.csv,483322c2a2159671feb4a55dd7f99d0865088307e6a095913f3d16d798de500f
404,d16_cfg21,4096,E,E:/Desktop/GPT_Codex/2modify/huichuan/E/zenodo_experiment/404/logs/cv_fold_d16_cfg21/seed_4096/generalization_summary.csv,raw/404/cv_fold_d16_cfg21/seed_4096/generalization_summary.csv,1d302699484391d71d00b05a201b1e94748e5cd23dffc44e2261e9c1675ca60e
404,d17_cfg21,2026,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/404/logs/cv_fold_d17_cfg21/seed_2026/generalization_summary.csv,raw/404/cv_fold_d17_cfg21/seed_2026/generalization_summary.csv,1854917daec6a7f82d191dc95de3d1d3889e0ba8931235c5cb4dd4394a91c838
404,d17_cfg21,3407,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/404/logs/cv_fold_d17_cfg21/seed_3407/generalization_summary.csv,raw/404/cv_fold_d17_cfg21/seed_3407/generalization_summary.csv,109ccd22ac823282ded0d25d98d9353944b8e560868eeafed593bc43103a76f7
404,d17_cfg21,4096,F,E:/Desktop/GPT_Codex/2modify/huichuan/F/zenodo_experiment/404/logs/cv_fold_d17_cfg21/seed_4096/generalization_summary.csv,raw/404/cv_fold_d17_cfg21/seed_4096/generalization_summary.csv,057004297139c117be73019793b9a0a115c0c78310fe92e08b3b6c97527ad93e
501,d15_cfg22,2026,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/501/logs/cv_fold_d15_cfg22/seed_2026/generalization_summary.csv,raw/501/cv_fold_d15_cfg22/seed_2026/generalization_summary.csv,6260571e6552eafa26410983ef9dca650740e39a0f13159978d194e7aa54175d
501,d15_cfg22,3407,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/501/logs/cv_fold_d15_cfg22/seed_3407/generalization_summary.csv,raw/501/cv_fold_d15_cfg22/seed_3407/generalization_summary.csv,9a0edee4c4b239be3be015c6bd00f19801675365fa9aa30232e33511574c8180
501,d15_cfg22,4096,A,E:/Desktop/GPT_Codex/2modify/huichuan/A/zenodo_experiment/501/logs/cv_fold_d15_cfg22/seed_4096/generalization_summary.csv,raw/501/cv_fold_d15_cfg22/seed_4096/generalization_summary.csv,913487b970dc8618225f3b5bdf693bf6d3afd43eb8805bd9f74601d3cfddc0ce
501,d16_cfg21,2026,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/501/logs/cv_fold_d16_cfg21/seed_2026/generalization_summary.csv,raw/501/cv_fold_d16_cfg21/seed_2026/generalization_summary.csv,773e4eaad94bc57b7cb7bef413418345c32c09da8cad9af340d2b13a293f7b0f
501,d16_cfg21,3407,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/501/logs/cv_fold_d16_cfg21/seed_3407/generalization_summary.csv,raw/501/cv_fold_d16_cfg21/seed_3407/generalization_summary.csv,31e0883bb5fc6ad4169ff418f1107e61577b7349e555ce779e1c2413b9b3e1cb
501,d16_cfg21,4096,B,E:/Desktop/GPT_Codex/2modify/huichuan/B/zenodo_experiment/501/logs/cv_fold_d16_cfg21/seed_4096/generalization_summary.csv,raw/501/cv_fold_d16_cfg21/seed_4096/generalization_summary.csv,da9f5f1dd389a3571add2978084e9afaa03e9140d4610a2601bdceb414b6a1c9
501,d17_cfg21,2026,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/501/logs/cv_fold_d17_cfg21/seed_2026/generalization_summary.csv,raw/501/cv_fold_d17_cfg21/seed_2026/generalization_summary.csv,72932545b0f43aec9b8481f134fd19ca57e40b066b02ed787eb502af36b777c4
501,d17_cfg21,3407,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/501/logs/cv_fold_d17_cfg21/seed_3407/generalization_summary.csv,raw/501/cv_fold_d17_cfg21/seed_3407/generalization_summary.csv,b7b97437278205113950021c433d018347707a61bbac9c29923f2cf7ea1fb452
501,d17_cfg21,4096,C,E:/Desktop/GPT_Codex/2modify/huichuan/C/zenodo_experiment/501/logs/cv_fold_d17_cfg21/seed_4096/generalization_summary.csv,raw/501/cv_fold_d17_cfg21/seed_4096/generalization_summary.csv,4b333405605986a23c9f3d90405bc141addd659d830fd88e90ae4bd75e00fea8
